NOMBRE                                                                                   	DIRECCION                                                                                                                  	CODIGO POSTAL	TELEFONO    	RIF        	ZONA DE TRANSPORTE     	PERSONA DE CONTACTO	CENTRO SUMINISTRADOR	
Ubii Pagos, C.A.                                                                         	Distrito Capital, Chacao, Av. San Juan Bosco, Edf Centro Altamira, Piso 12, oficina Ubii Pagos, C.A. Urbanización Altamira.	1060         	0414-2245733	J-407586980	<ZONA DEFINIDA POR TQL>	                   	                    	
Industria Alimenticia Nacional de Cereales y Harinas C.A.                                	Portuguesa, Araure, CTRA VÍA A GUANARE KM 185 LOCAL NRO S/N SECTOR PARQUE INDUSTRIAL LOS LLANOS, ARAURE.                   	3303         	0212-9337706	J-085033289	<ZONA DEFINIDA POR TQL>	                   	                    	
Venecoffee C.A.                                                                          	Aragua, Santa Cruz de Aragua, Prolongación Av. Aragua, Sector La Morita I, parcela 25-B. Municipio Santiago Mariño, Aragua.	2115         	0414-9110709	J-407389971	<ZONA DEFINIDA POR TQL>	                   	                    	
DEL MONTE ANDINA C.A.                                                                    	Aragua, Turmero, Av. Prolongación, Av. Bermudez, Edificio Planta, Piso 1, Local 1, Zona Industrial Turmero                 	2115         	0244-6635021	J-305464588	<ZONA DEFINIDA POR TQL>	                   	                    	
PUREX DE VENEZUELA, C.A.                                                                 	Distrito Capital, Prados del Este, Av. Rio Caura, Edif. Torre Humboldt, Piso Mezz 6, oficina Mezz 6, Urb. Prados del Este  	1080         	0412-2645455	J-311511415	<ZONA DEFINIDA POR TQL>	                   	                    	
Representaciones 930212, C.A.                                                            	Distrito Capital, Chuao, Av. La Estancia CC Ciudad Tamanaco Primera Etapa Nivel Yarey Local Mz05 Urb Chuao Caracas (Chacao)	1061         	0414-9337787	J-412292005	<ZONA DEFINIDA POR TQL>	                   	                    	
Nestlé de Venezuela, S.A                                                                 	Distrito Capital, Los Cortijos, Av Principal Los Cortijos De Lourdes, Caracas 1071, Miranda                                	1071         	0424-1619052	J-000129266	<ZONA DEFINIDA POR TQL>	                   	                    	
AGROCOMERCIALIZADORA VENEZUELA, C.A.                                                     	Aragua, Maracay, Calle Coromoto CC Atrium, Nivel 1, Local 18, Urb. Calicanto, Maracay,                                     	2101         	0412-3474187	J-403050600	<ZONA DEFINIDA POR TQL>	                   	                    	
CENTRAL EL PALMAR, S.A.                                                                  	Lara, Barquisimeto, Av. 2 con Calle 3, Local Parcela 29, Zona Industrial III, Barquisimeto, Estado Lara.                   	3001         	0244-3901006	J-409451143	<ZONA DEFINIDA POR TQL>	                   	                    	
INDUSTRIAS CENTENARIO, C.A                                                               	Carabobo, Valencia, C.C. Multicentro Paseo el Parral nivel Mezzanina local M-4 barrio 1, Urb. El parral.                   	2001         	0414-3000670	J-403248362	<ZONA DEFINIDA POR TQL>	                   	                    	
Mercantil                                                                                	Distrito Capital, Andres Bello, Av Andres Bello c/c El Lago                                                                	1010         	0424-1795651	J-000029610	<ZONA DEFINIDA POR TQL>	                   	                    	
Ramon Velasquez                                                                          	Distrito Capital, Chacao, 10ma transv de Altamira, Urb. La Cornisa, Edif. GM, PH-B                                         	1060         	0414-1124116	V-181851178	<ZONA DEFINIDA POR TQL>	                   	                    	
Luis Guareschi                                                                           	Distrito Capital, Caracas, 7 av  8 transversal, edif G4 apto PH oeste, Altamira, chacao, miranda                           	1060         	0412-2328277	V-123509451	<ZONA DEFINIDA POR TQL>	                   	                    	
Mariel Velazco                                                                           	Distrito Capital, Chacao, 10ma transv de Altamira, Urb. La Cornisa, Edif. GM, PH-B                                         	1060         	0414-8450735	V-269849114	<ZONA DEFINIDA POR TQL>	                   	                    	
